symbol,sector,key,value,provenance
ADH,Immobilier,beta,1.3306842391065954,beta_history
ADH,Immobilier,beta_min_observations,60.0,default
ADH,Immobilier,beta_window_years,2.0,default
ADH,Immobilier,beta_zero_return_threshold,0.3,default
ADH,Immobilier,bs_balance_fail_bps,200.0,default
ADH,Immobilier,bs_balance_warn_bps,50.0,default
ADH,Immobilier,computed_debt_weight,0.21299970559325196,computed
ADH,Immobilier,computed_equity_weight,0.787000294406748,computed
ADH,Immobilier,cost_of_capital_build_up,"{""average_total_debt"": 3425372680.0, ""base_cost_of_debt"": 0.055, ""base_equity_risk_premium"": 0.06, ""beta"": 1.3306842391065954, ""beta_as_of"": ""2026-06-01"", ""beta_frequency"": ""weekly"", ""beta_liquidity_flag"": false, ""beta_lookup_as_of"": ""latest"", ""beta_method"": ""ols"", ""beta_n_obs"": 104, ""beta_r2"": 0.34488957042385393, ""beta_source"": ""beta_history"", ""beta_window_years"": 2.0, ""beta_zero_week_frac"": 0.028846153846153848, ""cost_of_debt"": 0.061, ""cost_of_debt_ceiling"": 0.085, ""cost_of_debt_floor"": 0.04, ""cost_of_debt_pre_scenario"": 0.061, ""cost_of_debt_source"": ""synthetic_interest_coverage_spread"", ""cost_of_debt_unclamped"": 0.061, ""cost_of_equity"": 0.11484105434639573, ""cost_of_equity_floor"": 0.095, ""cost_of_equity_floor_bound"": false, ""cost_of_equity_unfloored"": 0.11484105434639573, ""country_risk_premium"": 0.0, ""debt_weight"": 0.21299970559325196, ""effective_cost_of_debt"": 0.061, ""effective_equity_risk_premium"": 0.06, ""equity_weight"": 0.787000294406748, ""interest_coverage"": 3.6347994196113627, ""interest_expense"": 131053565.0, ""kd_effective"": 0.03825965150162872, ""kd_synthetic"": 0.061, ""macro_config"": {""country_risk_mode"": ""auto"", ""country_risk_premium"": 0.0, ""country_risk_source"": ""auto:masi_embedded"", ""equity_risk_premium"": 0.06, ""erp_index_asset_class"": ""index"", ""erp_index_symbol"": ""MASI"", ""erp_lookback_years"": 10.0, ""erp_mean_method"": ""geometric"", ""erp_mode"": ""manual"", ""erp_source"": ""manual"", ""expected_index_return"": null, ""risk_free_mode"": ""tenor"", ""risk_free_rate"": 0.035, ""risk_free_source"": ""treasury_curve:10Y"", ""scope_key"": ""GLOBAL"", ""source"": ""structural_default"", ""treasury_curve"": {""10Y"": 0.035, ""1Y"": 0.03, ""5Y"": 0.033}, ""treasury_tenor"": ""10Y"", ""version_label"": ""base"", ""warnings"": []}, ""market_cap"": 12656211425.76, ""market_proxy"": ""MASI"", ""scenario_cost_of_debt_addon"": 0.0, ""scenario_erp_addon"": 0.0, ""synthetic_bucket"": ""BBB"", ""synthetic_spread"": 0.026, ""tax_rate"": 0.35, ""total_debt"": 3425372680.0, ""wacc"": 0.09882538190736723, ""weight_source"": ""market_cap_plus_debt""}",computed
ADH,Immobilier,cost_of_debt,0.061,computed
ADH,Immobilier,cost_of_equity,0.11484105434639573,computed
ADH,Immobilier,cost_of_equity_floor,0.095,scenario
ADH,Immobilier,country_risk_premium,0.0,macro_config
ADH,Immobilier,currency,MAD,scenario
ADH,Immobilier,default_debt_weight,0.3,default
ADH,Immobilier,default_equity_weight,0.7,default
ADH,Immobilier,equity_risk_premium,0.06,macro_config
ADH,Immobilier,fade_years,5.0,default
ADH,Immobilier,forecast_years,5.0,default
ADH,Immobilier,justified_multiple_ratio_mask,3.0,default
ADH,Immobilier,mid_year_discounting,1.0,default
ADH,Immobilier,mid_year_terminal,0.0,default
ADH,Immobilier,peer_min_count,3.0,default
ADH,Immobilier,proxy_weight_cap,0.25,default
ADH,Immobilier,relative_multiple_ratio_mask,15.0,default
ADH,Immobilier,risk_free_rate,0.035,macro_config
ADH,Immobilier,scenario_cost_of_debt_addon,0.0,default
ADH,Immobilier,scenario_erp_addon,0.0,default
ADH,Immobilier,scenario_probabilities,"{""base"": 0.55, ""bear"": 0.25, ""bull"": 0.2}",
ADH,Immobilier,scenario_probability_base,0.55,default
ADH,Immobilier,scenario_probability_bear,0.25,default
ADH,Immobilier,scenario_probability_bull,0.2,default
ADH,Immobilier,sensitivity_terminal_growth_step,0.005,default
ADH,Immobilier,sensitivity_wacc_step,0.005,default
ADH,Immobilier,stable_payout_ratio,0.55,default
ADH,Immobilier,tax_rate,0.35,default
ADH,Immobilier,terminal_growth,0.025,default
ADH,Immobilier,terminal_growth_basis,"{""equity"": {""binding_constraint"": ""raw"", ""ceiling"": 0.035, ""ceiling_source"": ""risk_free_rate"", ""discount_buffer"": 0.01, ""discount_cap"": 0.10484105434639573, ""discount_rate"": 0.11484105434639573, ""floor"": 0.0, ""path"": ""equity"", ""payout"": 0.55, ""payout_source"": ""stable_payout_assumption"", ""raw_growth"": 0.03, ""retention"": 0.44999999999999996, ""roe"": null, ""roe_source"": ""missing_roe"", ""source"": ""earnings_growth_proxy_missing_roe"", ""terminal_growth"": 0.03}, ""firm"": {""binding_constraint"": ""raw"", ""ceiling"": 0.035, ""ceiling_source"": ""risk_free_rate"", ""discount_buffer"": 0.01, ""discount_cap"": 0.08882538190736723, ""discount_rate"": 0.09882538190736723, ""floor"": 0.0, ""path"": ""firm"", ""raw_growth"": 0.008699652994224902, ""reinvestment_rate"": 0.4953839657905888, ""roic"": 0.017561434351919383, ""source"": ""reinvestment_times_roic"", ""tax_rate"": 0.35, ""terminal_growth"": 0.008699652994224902}}",computed
ADH,Immobilier,terminal_growth_ceiling_source,1.0,default
ADH,Immobilier,terminal_growth_discount_buffer,0.01,default
ADH,Immobilier,terminal_growth_equity,0.03,computed_from_fundamentals
ADH,Immobilier,terminal_growth_firm,0.008699652994224902,computed_from_fundamentals
ADH,Immobilier,terminal_growth_floor,0.0,default
ADH,Immobilier,use_balance_sheet_capital_weights,1.0,default
ADH,Immobilier,wacc,0.09882538190736723,computed
ADI,Immobilier,beta,1.4695788422801448,beta_history
ADI,Immobilier,beta_min_observations,60.0,default
ADI,Immobilier,beta_window_years,2.0,default
ADI,Immobilier,beta_zero_return_threshold,0.3,default
ADI,Immobilier,bs_balance_fail_bps,200.0,default
ADI,Immobilier,bs_balance_warn_bps,50.0,default
ADI,Immobilier,computed_debt_weight,0.19222161816769393,computed
ADI,Immobilier,computed_equity_weight,0.8077783818323061,computed
